fr,en,de,it
longueurs des vis,screw lengths,längen der schrauben,lunghezze delle viti
longueurs principales,main lengths,Hauptlängen,lunghezze principali
loption,the option,mit der Option,l'opzione
loption caméra a des prérequis particuliers,the camera option has specific prerequisites,für die kamera option gelten besondere voraussetzungen,lopzione telecamera ha prerequisiti particolari
lors dalarme licône,"when an alarm occurs, the icon appears",bei einem alarm erscheint das symbol,in caso di allarme l'icona appare
lorsque lutilisateur désire effectuer,when the user wishes to perform,wenn der Benutzer ausführen möchte,quando lutente desidera effettuare
losange,diamond,Raute,rombo
losange ou triangle,diamond or triangle,Raute oder Dreieck,rombo o triangolo
loutil doit être défini dans vgpro,the tool must be defined in vgpro,das Werkzeug muss in vgpro definiert werden,lutensile deve essere definito in vgpro
loutil doit être parfaitement centré,the tool must be perfectly centered,das werkzeug muss perfekt zentriert sein,l'utensile deve essere perfettamente centrato
loutil ne peut donc avoir qu,the tool can therefore only have,das werkzeug kann daher nur,l'utensile può quindi avere
loutil nest pas dans les tolérances,the tool is not within tolerances,werkzeug ist nicht im toleranzbereich,lutensile non rientra nelle tolleranze
louverture et fermeture des programmes,the opening and closing of programs,das öffnen und schließen der programme,lapertura e chiusura dei programmi
lspro,lspro,lspro,lspro
lubrifiant,lubricant,schmierstoff,lubrificante
lubrifiants,lubricants,Schmierstoffe,lubrificanti
lubrification,lubrication,Schmierung,lubrificazione
lubroseal joint ø,lubroseal seal ø,lubroseal dichtung ø,guarnizione lubroseal ø
lunettes,goggles,Schutzbrille,occhiali
m arrosage off,m coolant off,m kühlung off,m refrigerante off
m arrêt optionnel,m optional stop,m wahlweiser Halt,m arresto opzionale
m déchargement,m unloading,m Entladen,m scarico
m m,m m,m m,m m
m métal dur dents hélice,solid carbide helical teeth,Vollhartmetall-Schneckenverzahnung,m metallo duro denti elica a
m soufflage off,m blowing off,m blasen aus,m soffiatura off
m soufflage on,m blowing on,m blasen ein,m soffiatura on
m à m,m to m,m bis m,m a m
machine,machine,Maschine,macchina
machine arrêtée,machine off,Maschine ausgeschaltet,macchina spenta
machine contrôle contrôle,machine monitor control,maschine überwachung übersicht,macchina monitor controllo
machine coté,machine side,Maschinenseite,lato macchina
machine côté,machine side,Maschinenseite,lato macchina
machine déclenchée,machine off,Maschine ausgeschaltet,macchina spenta
machine en alarme,machine alarm,Maschine in Alarm,macchina in allarme
machine en mode stop ou hold,machine in stop or hold mode,maschine im modus stop oder hold,macchina in modo stop o hold
machine en production memory start,machine in production memory start,maschine in produktion memory start,macchina in produzione memory start
machine enclenchée,machine engaged,Maschine eingeschaltet,macchina avviata
machine enclenchée et en mode,machine started and in mode,maschine eingeschaltet und im modus,macchina avviata e in modalità
machine enclenchée portes fermées et verrouillées,"machine started, doors closed and locked",maschine eingeschaltet türen geschlossen und verriegelt,macchina avviata porte chiuse e bloccate
machine et cnc sous tension,machine and CNC powered on,maschine und cnc eingeschaltet,macchina e cnc sotto tensione
machine externe,external machine,externe maschine,macchina esterna
machine haimer,haimer machine,Haimer-Maschine,macchina Haimer
machine insert,machine insert,Maschinenwendeplatte,inserto macchina
machine inserts,machine inserts,Maschineneinsätze,macchine inserti
machine laser,laser machine,Lasermaschine,macchina laser
machine laser smart,smart laser machine,smarte Lasermaschine,macchina laser smart
machine lasersmart,lasersmart machine,lasersmart machine,macchina lasersmart
machine lighting,machine lighting,Maschinenbeleuchtung,illuminazione della macchina
machine mode,machine mode,maschinen modus,modalità macchina
machine ne peut pas être atteinte,machine cannot be reached,Maschine ist nicht erreichbar,la macchina non può essere raggiunta
machine np,np machine,np-Maschine,macchina np
machine p,p machine,P-Maschine,macchina p
machine par machine,machine by machine,maschinenweise,macchina per macchina
machine prête à partir en production,machine ready for production,maschine produktionsbereit,macchina pronta a partire in produzione
machine réglages calibration palpeur,machine settings calibration probe,Maschineneinstellungen Kalibrierungstaster,sonda di calibrazione impostazioni macchina
machine réglages protection,machine settings protection,Schutzeinrichtung für Maschineneinstellungen,protezione delle regolazioni della macchina
machine réglages protection verrouillé,machine settings protection lock,Maschineneinstellungen Schutzverriegelung,blocco di protezione delle impostazioni macchina
machine réglages protection vérrouillé,machine settings protection lock,Maschineneinstellungen Schutz verriegelt,protezione impostazioni macchina bloccata
machine sans changeur meule xs,machine without wheel changer xs,maschine ohne scheibenwechsler xs,macchina senza cambio mola xs
machine sans palpeur,machine without probe,maschine ohne taster,macchina senza tastatore
machine sans système anti feu,machine without fire protection system,Maschine ohne Brandschutzsystem,macchina senza sistema antincendio
machine type,machine type,Maschinentyp,tipo di macchina
machine universelle,universal machine,universalmaschine,macchina universale
machine utilization license,machine user license,Maschinennutzungslizenz,licenza di utilizzo macchina
machine utilization license has expired contact,"machine utilization license has expired, contact","Maschinennutzungslizenz ist abgelaufen, kontaktieren Sie","la licenza di utilizzo della macchina è scaduta, contattare"
machine xd,xd machine,XD-Maschine,macchina xd
machine xl,xl machine,XL-Maschine,macchina XL
machine xs,xs machine,maschine xs,macchina xs
machine xs uniquement,machine xs only,nur Maschine XS,macchina XS soltanto
machine xw,xw machine,Maschine xw,macchina xw
machines,machines,Maschinen,macchine
machines et pmc,machines and pmc,maschinen und pmc,macchine e pmc
machines nano,nano machines,Nano-Maschinen,macchine nano
machines options,machine options,maschinenoptionen,opzioni macchina
machines rollo,rollo machines,Rollo-Maschinen,macchine rollo
machines sans changeur meule xs,machines without wheel changer xs,maschinen ohne scheibenwechsler xs,macchine senza cambio mola xs
machines xs,xs machines,maschinen xs,macchine xs
machines xw,xw machines,maschinen xw,macchine xw
machines xw et xf,xw and xf machines,maschinen xw und xf,macchine xw e xf
machines xw et xf sauf xw,xw and xf machines except xw,maschinen xw und xf außer xw,macchine xw e xf tranne xw
macrolon,macrolon,Macrolon,macrolon
main bleue à l'écran page,blue hand on the screen page,blaues Handsymbol auf dem Bildschirm Seite,mano blu sullo schermo pagina
main data,main data,Hauptdaten,dati principali
maintenance,maintenance,Wartung,manutenzione
maintenance et alarmes,maintenance and alarms,wartung und alarme,manutenzione e allarmi
maintenance opérateur,operator maintenance,Wartung durch den Bediener,manutenzione operatore
maintenance preventive active,preventive maintenance active,vorbeugende wartung aktiv,manutenzione preventiva attiva
maintenance préventive,preventive maintenance,vorbeugende wartung,manutenzione preventiva
maintenant nous sommes en anglais,now we are in English,jetzt ist die benutzeroberfläche auf englisch,adesso siamo in inglese
maintenir,keep,halten,mantenere
majorer les valeurs,increase the values,die werte erhöhen,aumentare i valori
man,man,man,man
man unload pos,manual unload position,manuelle Entladeposition,posizione di scarico manuale
manche,handle,Griff,manico
manette homme mort,dead man's handle,Totmannschalter,maniglia uomo morto
manipulation des panneaux daccès,access panel operation,Handhabung der Zugangsplatten,manipolazione dei pannelli di accesso
manipulation des portes,door operation,Bedienung der Türen,manipolazione delle porte
manipulation générale machine,general machine handling,allgemeine handhabung der maschine,manipolazione generale della macchina
manipulations opérateur,operator actions,Bedienerhandlungen,azioni dell’operatore
manipuler,handling,handhabung,manipolazione
manivelle,handwheel,Handrad,manovella
manivelle incrémentale,incremental handwheel,inkrementales Handrad,manovella incrementale
manivelle électronique,electronic handwheel,elektronisches handrad,manovella elettronica
manivelle électronique déplaçant les axes,electronic handwheel for moving the axes,elektronisches Handrad zum Verfahren der Achsen,manovella elettronica per lo spostamento degli assi
manodétendeur,pressure reducing valve,Druckminderer,valvola riduttrice di pressione
manomètre,pressure gage,Manometer,manometro
manomètre et pressostat,pressure gauge and pressure switch,manometer und druckregler,manometro e pressostato
manual of safety regulations,manual of safety regulations,Sicherheitsvorschriftenhandbuch,manuale delle norme di sicurezza
manuale,installation manual,Installationshandbuch,manuale di installazione
manuel,manual,manuell,manuale
manuel d'installation,installation manual,Installationshandbuch,manuale di installazione
manuel d'instruction,instruction manual,Bedienungsanleitung,manuale di istruzioni
manuel d'utilisation,user manual,Bedienungsanleitung,manuale di utilizzo
manuel différé,manual deferred,manuell verzögert,manuale differito
manuel dinstallation,installation manual,Installationshandbuch,manuale d'installazione
manuel direct,manual direct,manuell direkt,manuale diretto
manuel d'utilisation,user manual,Benutzerhandbuch,manuale di utilizzo
manuel insert,insert manual,Handbuch Einsatz,manuale inserto
manuel installation xf xs xw et xs xw,xf xs xw and xs xw installation manual,installationshandbuch xf xs xw und xs xw,manuale di installazione xf xs xw e xs xw
manuel interne,internal manual,internes handbuch,manuale interno
manuel machine,machine manual,Maschinenhandbuch,manuale macchina
manuel option,manual option,manuelle Option,opzione manuale
manuel options,manual options,manuelle Optionen,opzioni manuali
manuel original rédigé en français,original document written in french,handbuchdokument in französischer sprache verfasst,manuale originale redatto in francese
manuel programmation vgpro,VGPro programming manual,VGPro-Programmierhandbuch,manuale di programmazione VGPro
manuel sécurité toutes machines,safety manual all machines,sicherheitshandbuch alle maschinen,manuale di sicurezza tutte le macchine
manuel utilisateur,user manual,Benutzerhandbuch,manuale utente
manuelle,manual,manuelle,manuale
manuelle sicherheitsanforderungen,manual safety requirements,manuelle sicherheitsanforderungen,requisiti di sicurezza manuali
manuels applications modèles,type application manuals,Typ-Anwendungsanleitungen,manuali applicativi per modelli
manuels inserts,insert manuals,Wendeplattenhandbücher,manuali degli inserti
manuels machines,machine manuals,maschinenhandbücher,manuali macchina
